register;country;description;designation;points;price;province;region_1;region_2;taster_name;taster_twitter_handle;title;variety;winery;ajuste_vaiety
1040;Argentina;Dark in color and forcefully oaked on the nose, this resiny Malbec will appeal to fans of richly styled reds. Plum, berry, tomato leaf and herbal flavors finish woody but fair, with lasting acidity.                                                                                                                                  ;Clásico                                                         ;87;15;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Sur de los Andes 2012 Clásico Malbec (Mendoza)                                                    ;Malbec                    ;Sur de los Andes               ;Wine Malbec   
1194;Argentina;Rubbery, gaseous initial aromas give way to piquant red-fruit notes. This feels lean, racy and very high in acidity. Limited flavors of currant, tomato and salty red plum finish with herbal notes and persistent saltiness as well as abrasive acidity.                                                                               ;Appellation Gualtallary                                         ;87;40;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Altos Las Hormigas 2013 Appellation Gualtallary Malbec (Mendoza)                                  ;Malbec                    ;Altos Las Hormigas             ;Wine Malbec   
1386;US       ;The high alcohol is a good indication of the ultraripe fruit flavors here. Raisins and cooked cherries dominate, set against a background of tart cherry-pie acids. The concentration is impressive, as is the purity of the fruit flavors.                                                                                             ;                                                                ;88;36;Oregon           ;Southern Oregon           ;Southern Oregon  ;Paul Gregutt      ;@paulgwine      ;Schmidt 2011 Malbec (Southern Oregon)                                                             ;Malbec                    ;Schmidt                        ;Wine Malbec   
1394;Argentina;This screaming violet-colored chunkster is big and blocky up front, with aromas of vitamins and grapy black fruits. A giant palate holds big tannins, while heady flavors of black plum and oak spice finish minty, toasty and with power.                                                                                              ;Reserva                                                         ;88;19;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Bodega Norton 2013 Reserva Malbec (Mendoza)                                                       ;Malbec                    ;Bodega Norton                  ;Wine Malbec   
1458;France   ;Named after the 15th century owner of this estate, the wine comes from a selection of the best parcels. With impressive tannins, a dense structure and rich bold black fruits, this is a powerful wine. It is full of ripe fruit with a mineral texture and has a good future. Drink from 2021.                                         ;Château de Haute-Serre Cuvée Géron Dadine de Haute-Serre        ;94;49;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Georges Vigouroux 2014 Château de Haute-Serre Cuvée Géron Dadine de Haute-Serre Malbec (Cahors)   ;Malbec                    ;Georges Vigouroux              ;Wine Malbec   
1518;France   ;A powerful, wood-aged wine, this shows weighty black fruit and a toasty character. It is concentrated and solid, yet it has a soft and rich side as well.  The tarry, tannic character needs at least four years to soften.                                                                                                             ;Renaissance                                                     ;92;26;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Château de Gaudou 2010 Renaissance Malbec (Cahors)                                                ;Malbec                    ;Château de Gaudou              ;Wine Malbec   
1626;Argentina;Lightly spicy raspberry aromas are raw and peppery. This feels fleshy and pulpy, with punchy acidity. Peppery berry flavors are boosted by toasty oak that carries over to a mildly hot finish.                                                                                                                                         ;Sensual                                                         ;85;12;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Valentin Bianchi 2015 Sensual Malbec (Mendoza)                                                    ;Malbec                    ;Valentin Bianchi               ;Wine Malbec   
1648;Argentina;Reedy green-leaning aromas of plum and raspberry feed into a creamy palate. This tastes primarily of herbal red-berry fruits that finish oaky, dry and spicy.                                                                                                                                                                           ;Oak Cask                                                        ;85;10;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Trapiche 2014 Oak Cask Malbec (Mendoza)                                                           ;Malbec                    ;Trapiche                       ;Wine Malbec   
1680;Argentina;Opens with rooty, baked aromas before finding its legs and plenty of ripe, attractive berry fruit. The palate is juicy and solid, with good acidity and nice flavors of wild berry, chocolate and toast. Stylish and very solid. Definitely a food-friendly Malbec.                                                                     ;                                                                ;90;25;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Doña Silvina 2006 Malbec (Mendoza)                                                                ;Malbec                    ;Doña Silvina                   ;Wine Malbec   
1762;US       ;This juicy red wine offers thick layers of black pepper and blueberry around sturdy oak. However, its opulent beginnings start to thin on the midpalate, veering into sour flavors and a touch of heat.                                                                                                                                 ;                                                                ;84;37;California       ;Napa Valley               ;Napa             ;Virginie Boone    ;@vboone         ;V. Sattui 2012 Malbec (Napa Valley)                                                               ;Malbec                    ;V. Sattui                      ;Wine Malbec   
1790;Argentina;Floral hints, latex, vanilla, oak and ripe berry aromas all show up on a fine bouquet. Ripe and creamy in feel, it holds dark, hard-pushing flavors of licorice, anise, coffee and blackberry. There's agility, elegance and complexity to this Malbec. Drink through 2017.                                                             ;                                                                ;91;24;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Los Vencejos 2010 Malbec (Uco Valley)                                                             ;Malbec                    ;Los Vencejos                   ;Wine Malbec   
1902;Argentina;Black plum, cola and chocolate define this textbook Malbec. The wine has body, heft and lots of fruit, but also some complexity and character. Flavors of black cherry, plum and cassis are layered and fairly boisterous, while the mouthfeel is firm and just slightly tannic. Just right for red meats and pastas.                   ;Premium                                                         ;89;12;Mendoza Province ;Luján de Cuyo             ;                 ;Michael Schachner ;@wineschach     ;Piattelli 2005 Premium Malbec (Luján de Cuyo)                                                     ;Malbec                    ;Piattelli                      ;Wine Malbec   
1976;France   ;This is the second wine of Château de Mercuès, and it has some of the same concentration and tannins as the first wine, without the huge and powerful structure. It will develop its black cherry and spice flavors relatively quickly, to yield a ready-to-drink wine in 2–3 years.                                                    ;Château de Mercuès Le Vassal de Mercuès                         ;88;16;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Georges Vigouroux 2010 Château de Mercuès Le Vassal de Mercuès Malbec (Cahors)                    ;Malbec                    ;Georges Vigouroux              ;Wine Malbec   
2208;US       ;A soft and layered expression of dense black cherry, chocolate and spicy tobacco, this is easy to enjoy and approachable, rich and round. A taste of black licorice dots the finishing moments.                                                                                                                                         ;                                                                ;88;75;California       ;Napa Valley               ;Napa             ;Virginie Boone    ;@vboone         ;Merryvale 2012 Malbec (Napa Valley)                                                               ;Malbec                    ;Merryvale                      ;Wine Malbec   
2338;Chile    ;Jammy black-fruit aromas are woody, reduced and come across cheesy. A thick, tannic, oaky body is home to flavors of plastic, creamy oak, vanilla and charred berries. This is pasty, oaky and creamy on the finish.                                                                                                                    ;La Finca Clos D'Angel                                           ;85;13;Colchagua Valley ;                          ;                 ;Michael Schachner ;@wineschach     ;Montes 2012 La Finca Clos D'Angel Malbec (Colchagua Valley)                                       ;Malbec                    ;Montes                         ;Wine Malbec   
2366;US       ;Spicy red currant fruit comes up quickly, backed with the grape's signature accents of stem and earth. There's a residual flavor of slightly bitter tomato leaf.                                                                                                                                                                        ;Stillwater Creek Vineyard                                       ;88;28;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;Novelty Hill 2010 Stillwater Creek Vineyard Malbec (Columbia Valley (WA))                         ;Malbec                    ;Novelty Hill                   ;Wine Malbec   
2432;France   ;This is an earthy effort that shows the tough soil of Cahors in its minerally, tight character. Dark in color, this is laced with intense acids and firm tannins.                                                                                                                                                                       ;Pigmentum                                                       ;85;12;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Georges Vigouroux 2011 Pigmentum Malbec (Cahors)                                                  ;Malbec                    ;Georges Vigouroux              ;Wine Malbec   
2568;US       ;Aromas of blue and purple fruit mix with notes of dried thyme and black pepper. The flavors are tart and elegant, showing a good sense of balance and restraint, with a finish that lingers.                                                                                                                                            ;Estate Grown                                                    ;89;30;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Gamache 2011 Estate Grown Malbec (Columbia Valley (WA))                                           ;Malbec                    ;Gamache                        ;Wine Malbec   
2574;US       ;Vanilla, thyme, dill and plum aromas are followed by plentiful fruit and barrel flavors that possess a pleasing mouthfeel. The oak is out front at times, especially on the aromas, but the wine is appealing.                                                                                                                          ;                                                                ;89;30;Washington       ;Walla Walla Valley (WA)   ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Bontzu 2013 Malbec (Walla Walla Valley (WA))                                                      ;Malbec                    ;Bontzu                         ;Wine Malbec   
2590;US       ;Single vineyard, 100% varietal Malbec can be spot on, and this succeeds with a balanced flavor profile of mixed berries and earthy tannins. There's a hint of volatility, that quickly blows off. Decanting for an hour or so is advised.                                                                                               ;Gamache Vineyard                                                ;90;35;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;àMaurice 2010 Gamache Vineyard Malbec (Columbia Valley (WA))                                      ;Malbec                    ;àMaurice                       ;Wine Malbec   
2854;Chile    ;Earthy plum and berry aromas come with hints of rubber and animal. This is a saturated chewy dark Malbec with salty blackberry and savory oak flavors. A spicy blackened well-oaked finish is balanced and healthy.                                                                                                                     ;Elegido Gran Reserva                                            ;88;18;Colchagua Valley ;                          ;                 ;Michael Schachner ;@wineschach     ;Valle Hermoso 2014 Elegido Gran Reserva Malbec (Colchagua Valley)                                 ;Malbec                    ;Valle Hermoso                  ;Wine Malbec   
2890;France   ;This wine from Château Lagrézette is powerful and dense in its own right. It has black, juicy, tar-like flavors with tannins concentrated into a dry, dark core. Blended with a small proportion of Merlot, there is just a touch of softness which will allow the wine to mature in the next 2–3 years.                                ;Château Chevaliers Lagrézette                                   ;91;30;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Château Lagrézette 2010 Château Chevaliers Lagrézette Malbec (Cahors)                             ;Malbec                    ;Château Lagrézette             ;Wine Malbec   
2948;US       ;This vineyard has proven it can ripen good Malbec, but here it seems as if something has gone sideways. There is a gluey scent underneath the blackberry fruit, and the wine seems chalky and disjointed in the mouth, with more of the band-aid flavors in the finish.                                                                 ;Estate                                                          ;83;26;Washington       ;Wahluke Slope             ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;Gilbert Cellars 2007 Estate Malbec (Wahluke Slope)                                                ;Malbec                    ;Gilbert Cellars                ;Wine Malbec   
3120;Argentina;Recuerdo is the house brand from the Vines of Mendoza project, which is relying on young Tupungato vineyards that expand annually. This vintage shows floral berry aromas along with Middle East spice notes of cumin and curry. In the mouth, it's sharp and hollow, like an elevator that skips floors. Clipped flavors of boysenberry;                                                                ;84;22;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Recuerdo 2011 Malbec (Uco Valley)                                                                 ;Malbec                    ;Recuerdo                       ;Wine Malbec   
3136;Argentina;"Earthy, deep and true to its Uco Valley roots; this is a very good and fairly serious Malbec that doesn't try to overstep its natural limitations. It's not too extracted or oaky but instead delivers robust blackberry, plum and caramel flavors backed by a warm, mildly oaky finish with menthol and mocha. Drink now into 2010.    ";Reserve                                                         ;89;20;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Salentein 2005 Reserve Malbec (Uco Valley)                                                        ;Malbec                    ;Salentein                      ;Wine Malbec   
3158;Argentina;A blackened wine, with piercing, dense aromas of shoe polish, charred oak, dark spice and black fruit. It feels solid and juicy, with black-tasting flavors that focus on espresso and dark spice. The finish is a bit short on fruit.                                                                                                  ;                                                                ;86;17;Other            ;Alto Valle del Río Negro  ;                 ;Michael Schachner ;@wineschach     ;Verum 2010 Malbec (Alto Valle del Río Negro)                                                      ;Malbec                    ;Verum                          ;Wine Malbec   
3270;France   ;This is a traditional style—emphasizing earthy tannins and spicy fruit and is rough around the edges—but is a wine that would relish being partnered with sausages, salamis and hard cheeses. There is plenty of weight, the acidity coming from minerality and wood.                                                                   ;Cuvée des Vignes Centenaires                                    ;87;50;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Clos de Gamot 2002 Cuvée des Vignes Centenaires Malbec (Cahors)                                   ;Malbec                    ;Clos de Gamot                  ;Wine Malbec   
3284;Argentina;Rubbery and smoky at first, with leather and berry fruit running secondary to the wine's more reduced qualities. But if given ten minutes to unwind, it shows wide black-fruit flavors, creaminess and finally some barrel-based resin. Gets better the more you work with it, but will always register as “oaky.”                      ;Reserve                                                         ;87;46;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Melipal 2006 Reserve Malbec (Mendoza)                                                             ;Malbec                    ;Melipal                        ;Wine Malbec   
3556;US       ;This single vineyard Malbec belongs with Washington's best. The mix of purple fruits and intense barrel flavors of clove, cocoa and dusty mocha inspires an impromptu “wow” once in the mouth. Smooth, satiny and seamless, it has a gentle hint of earth and herb threaded through the finish.                                         ;Sagemoor Vineyard                                               ;92;30;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;Walla Walla Vintners 2010 Sagemoor Vineyard Malbec (Columbia Valley (WA))                         ;Malbec                    ;Walla Walla Vintners           ;Wine Malbec   
3604;US       ;The new oak barrel flavors stick out aggressively, and help to create a strong impression of drying tannins. The fruit is light and chalky, with young vine flavors of generic red berries.                                                                                                                                             ;Spice Cabinet Vineyard                                          ;86;33;Washington       ;Horse Heaven Hills        ;Columbia Valley  ;Paul Gregutt      ;@paulgwine      ;Mercer 2008 Spice Cabinet Vineyard Malbec (Horse Heaven Hills)                                    ;Malbec                    ;Mercer                         ;Wine Malbec   
3618;US       ;Marked by zingy acidity, this Malbec shows Cabernet-like black currant flavors and strong, rich tannins. Bone dry, it needs a good steak to punch through the astringency.                                                                                                                                                              ;Red Cedar Vineyard                                              ;86;35;California       ;Paso Robles               ;Central Coast    ;                  ;                ;Clayhouse 2009 Red Cedar Vineyard Malbec (Paso Robles)                                            ;Malbec                    ;Clayhouse                      ;Wine Malbec   
3760;Argentina;Dense aromas of prune and raisin scream “overripe.” In the mouth, this is heavy, saturated and stewy in feel. Flavors of crème de cassis and brandied cherry finish baked and raisiny. Drink now.                                                                                                                                       ;HD Reserva                                                      ;86;29;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Durigutti 2011 HD Reserva Malbec (Mendoza)                                                        ;Malbec                    ;Durigutti                      ;Wine Malbec   
3814;France   ;Heavily wooded, the wine is essentially toast with a touch of fruit. Of course, it is young, and the rich black fruits behind all this smokiness will come through. Drink after 2019.                                                                                                                                                   ;Renaissance                                                     ;88;25;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Château de Gaudou 2012 Renaissance Malbec (Cahors)                                                ;Malbec                    ;Château de Gaudou              ;Wine Malbec   
3940;Argentina;Sweet and syrupy smelling, with maple-covered doughnut and muddled spice and tree bark aromas. The palate is more cutting and acidic than expected, with a sheer mouthfeel and heavy vanilla and oak flavors covering up underdeveloped red fruit notes. Hard, crisp and tannic stuff.                                                  ;Organic Legacy Old Vines                                        ;83;25;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Caligiore 2008 Organic Legacy Old Vines Malbec (Mendoza)                                          ;Malbec                    ;Caligiore                      ;Wine Malbec   
4050;Argentina;Aromas of oak, mint and cola accent earthy black-fruit scents in front of a palate that's tannic and raw but firm and structured. Berry and salty, oaky flavors finish with grabby, drying tannins and peppery spice.                                                                                                                   ;Q                                                               ;88;20;Mendoza Province ;Valle de Uco              ;                 ;Michael Schachner ;@wineschach     ;Zuccardi 2014 Q Malbec (Valle de Uco)                                                             ;Malbec                    ;Zuccardi                       ;Wine Malbec   
4054;Argentina;Earthy aromas of raisin, blackberry, barnyard and animal are dense. This feels clampy, grabby and heavy, with just enough acidity to maintain a sense of balance. Salty, savory plum and berry flavors finish with a final wave of salt and earthy, roasted berry fruit.                                                                ;Estate Selection                                                ;88;27;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Chakana 2014 Estate Selection Malbec (Mendoza)                                                    ;Malbec                    ;Chakana                        ;Wine Malbec   
4254;US       ;The aromas of tar, clove, wood spice and dark fruit show nuance. The flavors are velvety and full, pinching together on the finish. The oak seems a bit prominent at times.                                                                                                                                                             ;                                                                ;88;42;Washington       ;Columbia Valley (WA)      ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Swiftwater Cellars 2013 Malbec (Columbia Valley (WA))                                             ;Malbec                    ;Swiftwater Cellars             ;Wine Malbec   
4410;US       ;This wine shows cocoa, vanilla and barrel spice aromas on the nose. The medium-weight palate shows decent fruit tones however is overshadowed by heavy-handed oak.                                                                                                                                                                      ;The Estates                                                     ;88;26;Washington       ;Wahluke Slope             ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Milbrandt 2014 The Estates Malbec (Wahluke Slope)                                                 ;Malbec                    ;Milbrandt                      ;Wine Malbec   
4624;Argentina;"Saturated in color as well as on the nose, this fruit-packed Malbec opens with grapy black-plum and cassis aromas. An intensely bold palate is loaded to the hilt with black cherry, blackberry and integrated oak and spice flavors. A lush, steady finish unfolds in due time and with no disparate parts; drink from 2019–2025.      ";Terroir Series Finca Ambrosia Single Vineyard                   ;94;55;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;Trapiche 2012 Terroir Series Finca Ambrosia Single Vineyard Malbec (Uco Valley)                   ;Malbec                    ;Trapiche                       ;Wine Malbec   
4658;Argentina;"Bold and earthy wine, with aromas of fine rubber, balsam wood, forest floor, spice and ripe black fruit. It's thick as it rolls over the palate, and the wild berry, herb and pepper flavors fit the wine's physique and profile. Long and fairly deep on the finish; drink now through 2011.                                           ";La Flor                                                         ;89;16;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Pulenta Estate 2008 La Flor Malbec (Mendoza)                                                      ;Malbec                    ;Pulenta Estate                 ;Wine Malbec   
4718;US       ;This wine comes from Alexander Valley-grown Malbec, a variety the producer has been planting in earnest over the last few years. Dark pink-red, it is medium bodied and refreshing, with notes of cherry, blueberry and vanilla.                                                                                                        ;Rosé of                                                         ;87;25;California       ;Sonoma County             ;Sonoma           ;Virginie Boone    ;@vboone         ;Rodney Strong 2014 Rosé of Malbec (Sonoma County)                                                 ;Malbec                    ;Rodney Strong                  ;Wine Malbec   
4776;Argentina;This wonderful under-$20 Malbec opens with a blast of black-fruit aromas as well as mild rubber scents and minerality. The palate is solid, with baked berry and integrated saline and mineral flavors. A bright, lively finish with a ton of berry essence closes this out.                                                            ;Made with organically grown grapes                              ;90;17;Mendoza Province ;Tupungato                 ;                 ;Michael Schachner ;@wineschach     ;Finca Lalande 2012 Made with organically grown grapes Malbec (Tupungato)                          ;Malbec                    ;Finca Lalande                  ;Wine Malbec   
4806;Argentina;A heavy, dark and loud Malbec with bullish floral and black fruit aromas. Offers vise-grip tannins and borderline-overpowering blackberry flavors. Darkens on the finish, leaving espresso bitterness and chocolaty spice.                                                                                                              ;                                                                ;85;20;Mendoza Province ;Uco Valley                ;                 ;Michael Schachner ;@wineschach     ;DiamAndes 2010 Malbec (Uco Valley)                                                                ;Malbec                    ;DiamAndes                      ;Wine Malbec   
4854;France   ;"Red fruits and a bold color emphasize the fruitiness of this wine. It's ripe with some tannins that do need to soften; however, the explosive fruits are the stars here. Drink from 2017.                                                                                                                                               ";                                                                ;87;18;Southwest France ;Cahors                    ;                 ;Roger Voss        ;@vossroger      ;Domaine de Cause 2012 Malbec (Cahors)                                                             ;Malbec                    ;Domaine de Cause               ;Wine Malbec   
4932;Argentina;A bit grassy and green, with good power, herbal black fruit aromas, spice and cola. The palate is very high in acidity, which at first creates a sheering sharpness and tart plum flavors. With more airing it grows rounder and more complex, but overall it's exacting, odd and funky.                                                ;Don David Finca La Maravilla #6                                 ;86;20;Other            ;Cafayate                  ;                 ;Michael Schachner ;@wineschach     ;Michel Torino 2009 Don David Finca La Maravilla #6 Malbec (Cafayate)                              ;Malbec                    ;Michel Torino                  ;Wine Malbec   
5058;US       ;Coming in at 12.8% alcohol—nearly unheard of for a Washington red, particularly in a warm vintage—it brings appealing notes of dark plum accented by black pepper and dried herbs. It's silky soft in feel with a dazzling sense of texture and purity with little apparent oak influence.                                              ;Dineen Vineyard                                                 ;91;27;Washington       ;Rattlesnake Hills         ;Columbia Valley  ;Sean P. Sullivan  ;@wawinereport   ;Savage Grace 2013 Dineen Vineyard Malbec (Rattlesnake Hills)                                      ;Malbec                    ;Savage Grace                   ;Wine Malbec   
5296;Argentina;Floral red fruit aromas carry a hint of minerality and garrigue. The palate is lively, with good overall balance. Tastes of ripe red plum, raspberry and vanilla, while the finish is light in weight and quick, but satisfying.                                                                                                        ;                                                                ;88;30;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Nice 2008 Malbec (Mendoza)                                                                        ;Malbec                    ;Nice                           ;Wine Malbec   
5308;Argentina;Oak is front and center on the bouquet, and with that come accents of dried cheese and sawdust. Feels saturated, layered and tannic in the mouth, with roasted berry, black plum, herb and spice flavors. Feels and tastes a touch resiny on the finish, more evidence of the wine's barrel influence.                                  ;Reserva                                                         ;88;29;Mendoza Province ;La Consulta               ;                 ;Michael Schachner ;@wineschach     ;Altocedro 2010 Reserva Malbec (La Consulta)                                                       ;Malbec                    ;Altocedro                      ;Wine Malbec   
5314;Argentina;A big, dark, extracted Malbec with murky lead aromas of Graham cracker and sweet blueberry. The palate is jammy and chunky, with dark, earthy flavors of prune, blackberry and raisin. Finishes a bit pruny, but there's enough acidity to maintain a sense of balance. Drink now.                                                      ;Mayacaba                                                        ;88;50;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Mi Terruño 2008 Mayacaba Malbec (Mendoza)                                                         ;Malbec                    ;Mi Terruño                     ;Wine Malbec   
5412;Argentina;Stout up front, the nose is packed with black-fruit aromas. The palate feels a bit prickly and raw, while blackberry flavors run quick, with a chocolaty oak character popping up on a lean finish.                                                                                                                                     ;Don Baltazar                                                    ;88;17;Other            ;San Juan                  ;                 ;Michael Schachner ;@wineschach     ;Casa Montes 2012 Don Baltazar Malbec (San Juan)                                                   ;Malbec                    ;Casa Montes                    ;Wine Malbec   
5434;Argentina;Reedy aromas of olive, leather and oak are less than fruity and lush. This has a hard, edgy, abrasive mouthfeel along with pinched, salty flavors of plum and berry fruits. Earthy berry flavors and drying tannins are in charge on the finish.                                                                                        ;The Angel Oak                                                   ;88;30;Mendoza Province ;Valle de Uco              ;                 ;Michael Schachner ;@wineschach     ;SignoSeis 2013 The Angel Oak Malbec (Valle de Uco)                                                ;Malbec                    ;SignoSeis                      ;Wine Malbec   
5436;Argentina;"Smoke, rubber and spice aromas mix with ripe berry scents to form a solid and impressive bouquet. It's thick and saturated but balanced, with harmonious, easy to like flavors of blackberry and cassis. Long and solid on the finish; captures the essence of value-priced Malbec.                                                     ";Oak Cask                                                        ;88;10;Mendoza Province ;Mendoza                   ;                 ;Michael Schachner ;@wineschach     ;Trapiche 2010 Oak Cask Malbec (Mendoza)                                                           ;Malbec                    ;Trapiche                       ;Wine Malbec   
